"","FR.1","FR.2","FR.3","AC.2","AC.3","CT.1","CT.2","CT.3","AR.1","AR.2","AR.3","LAR.1","LAR.2","LAR.3","DHA.1","DHA.2","DHA.3","DR.1","DR.2","DR.3","EFA.1","EFA.2","EFA.3","HF.1","HF.2","HF.3"
"9030619P08Rik",6.96590555727502,7.078760560761,7.27686037108849,7.53413263158222,7.48995650486412,6.52166542989597,6.87505087713995,6.5755443481317,7.93263577393519,9.31531582843136,8.06192094993928,6.62745392591532,6.57877049651355,5.92605522031604,6.16260557365552,7.44747439378318,6.59935339028292,8.49172286372723,8.0644551135539,7.84014776843672,7.87838064330512,7.21499987406154,5.69910573188217,7.93768209644363,7.5555233543174,7.72900194260059
"Topors",5.71506069001247,6.11914089380357,6.20587420723803,6.58454849348976,6.38785205831128,6.14983120365699,5.5221221657473,6.2375308425163,6.56182996085132,6.24778285224274,6.88546015088848,6.28105412875342,6.98465476304559,7.18071762342309,6.82111810843416,6.51444903141639,6.40445650453948,7.44246370762081,7.23626250295312,7.86471207750698,6.5571125241997,6.16211789604739,6.35861555033864,6.26404143970551,6.06102599729682,6.22080069552242
"Pkdcc",7.24319602273324,7.12050139235316,6.91757771126658,6.44090305032811,5.85285936781429,7.48749905136663,7.63858585014134,7.63449602968649,7.52239273019497,7.2918084482628,7.22171899871843,7.27851697374174,6.91726399160035,7.45466218163819,7.27376820512416,7.41463003118647,7.34884796988513,7.54120622452769,7.34475006178938,7.48502068862098,7.61779618118788,7.71680617604984,7.70827175842018,6.68650656653741,6.96980234591155,6.49647326556565
"AI195470",10.1285588067251,10.9429979944549,10.3268589715132,11.2561824781524,10.8286085811673,10.7126480468629,10.6722370824057,10.7480604807667,11.685479476338,11.5093778198983,11.4118850768335,10.7973044991351,10.4574141965046,10.4544812734955,10.7730686481968,11.1682467112504,11.0109801963133,9.2687706481885,9.68730633977981,9.56743803334331,10.0377840215727,10.4646595136933,11.1297466220529,10.3948523384675,10.0544724562588,10.5159696556873
"Lpxn",4.30069026257533,4.01837274947607,4.0001496474291,3.78183381906796,4.23753433214139,3.91547407127208,4.40865992808086,4.31909870852431,5.73541456940445,5.29864431894193,4.96959916947491,4.2693925348283,3.99170310086688,3.69205853144894,3.87173868280804,4.2123551354159,3.83663503946864,4.43998972422057,4.32044874694162,4.09528831461927,4.48896723354097,4.33759430222415,4.86138239736641,4.73145133148883,3.94519301322445,4.38525303961492
"Acaca",10.7601271264925,10.3896276666192,10.7650568646951,7.97326229971541,8.70876507796268,8.92879133010081,9.23229153785001,9.66539721812812,8.33656070318102,9.16446139278863,8.79241840088479,7.84363195583894,7.7301123280038,7.67033938959602,8.75317965853496,9.10333980195109,8.07323921191416,7.57211623927683,9.0086263266297,8.61752829964383,10.3224702884222,11.2574909293895,8.75798125628276,8.23321874199076,8.22707566535877,8.31516980048804
"Ssr1",4.50794806072444,4.91277453144518,4.22384993878973,4.53676063329506,3.87347281903992,4.75627129937197,4.26474891116711,4.65234238128029,4.30656988215386,4.48229274263893,4.33819724393634,4.60108227093808,4.85842723093333,4.75477035968472,4.44445982516915,5.01818953962452,4.69215771603884,3.27558598343228,3.91007230049763,3.45502951605811,4.88198175505969,4.91982996303782,4.80300761537535,4.65162977882611,4.29065858478667,4.42567596155482
"Slc22a7",9.14968839032906,9.47411164091991,9.24525744891657,9.73997651705065,9.55702774485336,10.2397741347825,10.0082449077196,10.5856269454519,7.6889236806526,10.053494990477,8.25731774545592,8.33982001038486,8.94644487559482,8.84127448260959,9.63602684341329,9.81884501299914,10.7521810571918,8.03990454492065,7.65803963170276,7.08930981027538,8.97113117216556,9.33794147093357,8.1540556120769,9.55280925807447,9.33892386028885,8.79357650453484
"E2f8",4.72876744564741,4.693661205204,4.56017600035058,5.7058639027309,5.21581122563337,5.93281600695618,5.11409654685504,5.08795250321013,5.51784641745176,4.82573789440325,4.51006409175733,4.56748215668482,4.88091815345957,5.39395988511923,4.54738829452168,4.95987413915345,5.18716539183002,4.58351717510641,3.91513311701239,3.90513639476615,4.82372666405192,4.12770580235644,4.88007841251508,5.72296074686011,4.78093419629223,4.97143799018652
"Rarres1",10.3191959929215,10.666115140937,10.511225046857,10.8442155612373,10.8770390834381,9.6428226731628,10.1907660313224,10.4339188577799,9.36709409016815,9.05231308475365,9.55004742953768,9.76139913022905,9.89756814075705,9.79871094434757,9.78216951100761,9.84570128231693,10.1919122946768,8.2284249997382,8.44691081082428,8.7100796320726,11.3180286784579,11.2375584353509,9.64899679368428,10.9330557194996,10.4426578270035,10.3290535867956
"Cald1",10.2661737461993,10.485051562092,10.6352922439462,10.6450312675681,10.5155422977356,10.0059975471924,8.96818570233329,9.93168355016111,10.0664429995189,9.86396157912355,10.3512151854735,9.81266464846408,10.1996712858843,10.3298266689919,10.3032710609691,10.4532781418256,10.3050488394881,9.16721219302335,9.73054995314969,9.83045617157743,10.5170977528353,10.6028010128073,10.5794340391025,10.5482355363893,10.7993850769843,10.7249080714469
